title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Roses and Thorns,Ann Lawrence,Lawrence,"The thorns in love's garden
     How they do stick !
As we gather the roses
     The thorns will prick.
All roses have thorns
     Some have only one.
It pricks ! in a moment
     The hurt is done.
Oft' the rose we have given
     The most tender care
Will bid us know
     The thorn is there.
Roses and thorns grow
     Not far apart,
They each have a place
     In the human heart.
Then know while inhaling
     Its fragrance at morn;
Though sweet, and I love you,
     A rose has a thorn.",April,1928,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,,,New York,Predom. Black,
The Span of Life,Ann Lawrence,Lawrence,"In the morning of life
We till our soil.
We plough and harrow too;
There is precious little
Time to waste,
For at noon-time we are through.
In the afternoon
We plant our seed
For the crop we hope to grow.
And the product of
The after-years,
Is the crop that now we sow.
At even-tide
We gather in
The crop that we have grown.
Be it good or evil;
Wheat or tare,
We reap what we have sown.
Then-till and harrow
Well your soil.
And plant your seed with care;
For you reap what you sow
In a span of life
Sometime, somehow, somewhere.",January,1927,The Messenger,"A. Philip Randolph, Chandler Owen, George S. Schuyler",,female,,,New York,Predom. Black,
Sybil Warns Her Sister,Anne Spencer,Spencer,"It is dangerous for a woman to defy the gods;
To taunt them with the tongue's thin tip,
Or strut in the weakness of mere humanity,
Or draw a line daring them to cross;
The gods who own the searing lightning,
The drowning waters, the tormenting fears,
The anger of red sins...
Oh, but worse still if you mince along timidly-
Dodge this way or that, or kneel, or pray,
Or be kind, or sweat agony drops,
Or lay your quick body over your feeble young,
If you have beauty or plainness, if celibate,
Or vowed-the gods are Juggernaut,
Passing over each of us....
   Or this you may do:
Lock your heart, then, quietly,
And, lest they peer within,
Light no lamp when dark comes down
Raise no shade for sun,
Breathless must your breath come thru,
If you'd die and dare deny
The gods their god-like fun!",December,1927,Ebony and Topaz,Charles S. Johnson,,female,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Anne_Spencer
Rime For the Christmas Baby,Anne Spencer,Spencer,"Dear Bess,
He'll have rings and linen things,
And others made of silk;
There'll be toys like other boys’
And cream upon his milk; 
True, some sort of merit in a mart
Where goods are sold for money,
But packed with comfort is the heart
That shares with you what's funny;
So please kiss him when he’s very bad
And laugh with him in gladness,—
Life is too long a way to go,
And age will bring him sadness . . .
Pray you for unceasing springs,
Swelling deep in pard’n,
That into twin lives may grow
Time’s unfading garden.",December,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,female,,Caroling Dusk ,New York,Predom. Black,https://en.wikipedia.org/wiki/Anne_Spencer
Lines to a Nasturtium,Anne Spencer,Spencer,"FLAME-FLOWER, Day-torch, Mauna Loa,
I saw a daring bee, today, pause, and soar,
   Into your flaming heart;
Then did I hear crisp, crinkled laughter
As the furies after tore him apart?
   A bird, next, small and humming,
Looked into your startled depths and fled. ....
Surely, some dread sight, and dafter
   Than human eyes as mine can see,
Set the stricken air waves drumming
   In his flight.
Day-torch, Flame-flower, cool-hot Beauty,
I cannot see, I cannot hear your flutey
Voice lure your loving swain,
But I know one other to whom you are in beauty
Born in vain:
Hair like the setting sun,
Her eyes a rising star,
Motions gracious as reeds by Babylon, bar
All your competing;
Hands like, how like, brown lilies sweet,
Cloth of gold were fair enough to touch her feet ...
Ah, how the sense floods at my repeating,
As once in her fire-lit heart I felt the furies
Beating, beating.",October,1926,Palms,Countee Cullen,,female,,Caroling Dusk,"Guadalajara, Mexico",Predom. White,https://en.wikipedia.org/wiki/Anne_Spencer
"Lady, Lady",Anne Spencer,Spencer,"Lady, Lady, I saw your face,
Dark as night withholding a star . . .
The chisel fell, or it might have been
You had borne so long the yoke of men.
Lady, Lady, I saw your hands,
Twisted, awry, like crumpled roots,
Bleached poor white in a sudsy tub,
Wrinkled and drawn from your rub-a-dub.
Lady, Lady, I saw your heart,
And altared there in its darksome place
Were the tongues of flame the ancients knew,
Where the good God sits to spangle through.",March,1925,Survey Graphic,Alain Locke,,female,Racism,The New Negro,New York,Predom. White,https://en.wikipedia.org/wiki/Anne_Spencer
Dunbar,Anne Spencer,Spencer,"Ah, how poets sing and die!
Make one song and Heaven takes it;
Have one heart and Beauty breaks it;
Chatterton, Shelley, Keats and I--
Ah, how poets sing and die!
",November,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Elegy,female,"Intertext, Paul Laurence Dunbar",,Boston,Predom. Black,https://en.wikipedia.org/wiki/Anne_Spencer
White Things,Anne Spencer,Spencer,"Most things are colorful things—the sky, earth, and sea.
                 Black men are most men; but the white are free!
White things are rare things; so rare, so rare
They stole from out a silvered world—somewhere.
Finding earth-plains fair plains, save greenly grassed,
They strewed white feathers of cowardice, as they passed;
                 The golden stars with lances fine
                 The hills all red and darkened pine,
They blanched with their wand of power;
And turned the blood in a ruby rose
To a poor white poppy-flower.

They pyred a race of black, black men, 
And burned them to ashes white; then
Laughing, a young one claimed a skull.
For the skull of a black is white, not dull, 
                 But a glistening awful thing;
                 Made it seems, for this ghoul to swing
In the face of God with all his might,
And swear by the hell that siréd him:
                 ""Man-maker, make white!""
",March,1923,The Crisis,"W.E.B. Du Bois, Jessie Fauset",Free verse,female,"Race, Racism, Racialized violence",,Boston,Predom. Black,https://en.wikipedia.org/wiki/Anne_Spencer
Bamboula Dance,Antonio Jarvis,Jarvis,"Can I in pride mock these buffoons
Who ape ancestral circumstance?
My fathers, too, these thousand moons
Cavorted in some tribal dance.
I still can feel, when drumbeats call
The pulsing blood new rhythms take;
As garment-like refinements fall
Unconscious longings spring awake!
My honored father, too would say,
For all his solemn, high degrees,
That drums recall Nigerian play
And drown out later dignities.
Few named tribesmen now remain
To dance the sacred dance for rain! ",December,1928,Opportunity,"Charles S. Johnson, Countee Cullen",,male,"Africa, Carribean",,New York,Predom. Black,https://www.fbrvi.com/spotlighting-a-local-educator-j-antonio-jarvis-1901-1960/
Idolatry,Arna Bontemps,Bontemps,"You have been good to me, I give you this: 
The arms of lovers empty as our own, 
Marble lips sustaining one long kiss 
And the hard sound of hammers breaking stone. 
 
For I will build a chapel in the place 
Where our love died and I will journey there 
To make a sign and kneel before your face 
And set an old bell tolling on the air. ",December ,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Arna_Bontemps
My Heart Has Known Its Winter,Arna Bontemps,Bontemps,"A little while spring will claim its own, 
In all the land around for mile on mile 
Tender grass will hide the rugged stone. 
My still heart will sing a little while. 
 
And men will never think this wilderness 
Was barren once when grass is over all, 
Hearing laughter they may never guess 
My heart has known its winter and carried gall. ",December,1927,Ebony and Topaz,Charles S. Johnson,,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Arna_Bontemps
Length of Moon,Arna Bontemps,Bontemps,"Then the golden hour
Will tick its last
And the flame will go down in the flower.
A briefer length of moon
Will mark the sea-line and the yellow dune.
Then we may think of this, yet
There will be something forgotten
And something we should forget.
It will be like all things we know :
A stone will fail; a rose is sure to go.
It will be quiet then and we may stay
Long at the picket gate,
But there will be less to say.",November,1926,Fire!!,Wallace Thurman,,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Arna_Bontemps
The Return,Arna Bontemps,Bontemps,"I 
 
Once more, listening to the wind and rain, 
Once more, you and I, and above the hurting sound 
Of these comes back the throbbing of remembered rain, 
Treasured rain falling on dark ground. 
Once more, huddling birds upon the leaves 
And summer trembling on a withered vine. 
And once more, returning out of pain, 
The friendly ghost that was your love and mine. 
 
 II 
 
The throb of rain is the throb of muffled drums; 
Darkness brings the jungle to our room. 
Darkness hangs our room with pendulums 
Of vine and in the gathering gloom 
Our walls recede into a denseness of 
Surrounding trees. This is a night of love 
Retained from those lost nights our fathers slept 
In huts; this is a night that cannot die. 
Let us keep the dance of rain our fathers kept 
And tread our dreams beneath the jungle sky. 
 
III 

The downpour ceases. 
Let us go back, you and I, and dance 
Once more upon the glimmering leaves 
And as the throbbing of drums increases 
Shake the grass and the drippimg boughs of trees. 
A ary wind stirs the palm; the old tree grieves. 
Lime has charged the years and they have returned. 
Then let us dance by metal waters burned 
With gold of moon, let us dance 
With naked feet beneath the young spice trees. 
What was that light, that radiance 
On your face?—something I saw when first 
You passed beneath the jungle tapestries? 
A moment we pause to quench our thirst 
Kneeling at the water’s edge, the gleam 
Upon your face is plain; you have wanted this, 
Oh let us go back and search the tangled dream 
And as the muffled-drum-beats throb and miss 
Remember again how. early darkness comes 
 To dreams and silence to the drums. 
 
IV 
 
Let us go back into the dusk again, 
Slow and sad-like following the track 
Of blown leaves and cool white rain 
Into the old grey dreams; let us go back. 
Our walls close about us, we lie and listen 
To the noise of the street, the storm and the driven birds. 
A question shapes your lips, your eyes glisten 
 Retaining tears, but there are no more words. ",July,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,"Africa, Dance, Prize-winning","Ebony and Topaz, Caroling Dusk",New York,Predom. Black,https://en.wikipedia.org/wiki/Arna_Bontemps
Golgotha Is a Mountain,Arna Bontemps,Bontemps,"Golgotha is a mountain, a purple mound
Almost out of sight.
One night they hanged two thieves there,
And another man.
Some women wept heavily that night;
Their tears are flowing still. They have made a river;
Once it covered me.
Then the people went away and left Golgotha
Deserted.
Oh, I've seen many mountains:
Pale purple mountains melting in the evening mists and blurring on the borders of the sky.
I climbed old Shasta and chilled my hands in its summer snows.
I rested in the shadow of Popocatepetl and it whispered to me of daring prowess.
I looked upon the Pyrenees and felt the zest of warm exotic nights.
I slept at the foot of Fujiyama and dreamed of legend and of death.
And I've seen other mountains rising from the wistful moors like the breasts of a slender maiden.
Who knows the mystery of mountains!
Some of them are awful, others are just lonely.
...
Italy has its Rome and California has San Francisco,
All covered with mountains.
Some think these mountains grew
Like ant hills
Or sand dunes.
That might be so —
I wonder what started them all!
Babylon is a mountain
And so is Nineveh,
With grass growing on them;
Palaces and hanging gardens started them.
I wonder what is under the hills
In Mexico
And Japan!
There are mountains in Africa too.
Treasure is buried there:
Gold and precious stones
And moulded glory.
Lush grass is growing there
Sinking before the wind.
Black men are bowing.
Naked in that grass
Digging with their fingers.
I am one of them:
Those mountains should be ours.
It would be great
To touch the pieces of glory with our hands.
These mute unhappy hills,
Bowed down with broken backs,
Speak often one to another:
"" A day is as a year, "" they cry,
"" And a thousand years as one day. ""
We watched the caravan
That bore our queen to the courts of Solomon;
And when the first slave traders came
We bowed our heads.
""Oh, Brothers, it is not long!
Dust shall yet devour the stones
But we shall be here when they are gone. ""
Mountains are rising all around me.
Some are so small they are not seen;
Others are large.
All of them get big in time and people forget
What started them at first.
Oh the world is covered with mountains!
Beneath each one there is something buried:
Some pile of wreckage that started it there.
Mountains are lonely and some are awful.
...
One day I will crumble.
They'll cover my heap with dirt and that will make a mountain.
I think it will be Golgotha.",June,1926,Opportunity,Charles S. Johnson,,male,"Africa, Prize-winning",,New York,Predom. Black,https://en.wikipedia.org/wiki/Arna_Bontemps
